name,objective,note
afiro,-464.75314286
adlittle,225494.96316
agg,-35991767.287
agg2,-20239252.356
agg3,10312115.935
bandm,-158.62801845
beaconfd,33592.485807
blend,-30.812149846
bnl1,1977.6292856
bore3d,1373.0803942
brandy,1518.5098965
capri,2690.0129138
e226,-18.751929066,readme value uses the opposite objective-constant sign convention (delta = 2x the RHS constant); our verified optimum is -11.635074
etamacro,-755.71521774
israel,-896644.82186
kb2,-1749.9001299
lotfi,-25.264706062
recipe,-266.616
sc50a,-64.575077059
sc50b,-70.0
sc105,-52.202061212
sc205,-52.202061212
scagr7,-2331389.2548
scagr25,-14753433.061
scorpion,1878.1248227
scsd1,8.6666666743
scsd6,50.500000078
sctap1,1412.25
share1b,-76589.318579
share2b,-415.73224074
ship04s,1798714.7004
stocfor1,-41131.976219
